"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 19일","57.0844","55.5021","57.1330","55.2816","848.87K","2.85%"
"2021년 10월 18일","55.5025","56.3825","57.3729","53.7731","1.61M","-1.55%"
"2021년 10월 17일","56.3783","56.3442","57.3491","54.7162","784.73K","0.07%"
"2021년 10월 16일","56.3391","57.0492","57.9973","56.0044","1.06M","-1.25%"
"2021년 10월 15일","57.0512","55.4708","58.0832","54.7181","1.86M","2.86%"
"2021년 10월 14일","55.4633","54.0805","56.2696","53.6610","1.96M","2.51%"
"2021년 10월 13일","54.1046","52.7977","54.1482","51.6523","1.48M","2.49%"
"2021년 10월 12일","52.7898","54.5236","54.5236","51.5040","1.46M","-3.17%"
"2021년 10월 11일","54.5166","53.4911","55.4689","52.8721","1.18M","1.92%"
"2021년 10월 10일","53.4911","55.9300","56.2798","53.0026","1.05M","-4.36%"
"2021년 10월 09일","55.9274","55.0761","56.6949","54.6987","850.74K","1.56%"
"2021년 10월 08일","55.0698","55.7392","57.4325","54.7366","1.55M","-1.19%"
"2021년 10월 07일","55.7308","56.7514","57.6804","54.7292","2.75M","-1.80%"
"2021년 10월 06일","56.7520","58.8314","61.9362","54.0306","5.91M","-3.56%"
"2021년 10월 05일","58.8456","55.9515","59.3590","54.7825","2.76M","5.22%"
"2021년 10월 04일","55.9285","56.7246","57.0392","52.9109","2.65M","-1.42%"
"2021년 10월 03일","56.7333","56.1085","58.7067","55.2695","2.51M","1.09%"
"2021년 10월 02일","56.1193","55.2340","58.0975","53.4257","2.90M","1.60%"
"2021년 10월 01일","55.2340","51.7096","56.4057","51.0813","3.50M","6.82%"
"2021년 09월 30일","51.7096","49.9287","52.8542","49.7383","2.50M","3.57%"
"2021년 09월 29일","49.9287","48.1415","52.2480","47.9911","2.58M","3.72%"
"2021년 09월 28일","48.1385","51.6323","53.0462","47.9418","3.00M","-6.78%"
"2021년 09월 27일","51.6383","55.9012","57.8395","51.6383","2.75M","-7.63%"
