"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 09월 04일","19,999.9","19,832.2","20,017.8","19,594.7","158.27K","0.85%"
"2022년 09월 03일","19,831.4","19,952.8","20,043.8","19,660.7","157.85K","-0.61%"
"2022년 09월 02일","19,952.7","20,131.6","20,428.2","19,764.7","272.22K","-0.86%"
"2022년 09월 01일","20,126.1","20,049.9","20,202.7","19,584.4","275.08K","0.41%"
"2022년 08월 31일","20,043.9","19,793.4","20,469.1","19,793.4","318.17K","1.27%"
"2022년 08월 30일","19,792.6","20,295.6","20,558.2","19,559.7","308.41K","-2.48%"
"2022년 08월 29일","20,295.8","19,551.3","20,394.5","19,551.2","248.04K","3.81%"
"2022년 08월 28일","19,550.2","20,034.2","20,150.8","19,542.9","159.60K","-2.41%"
"2022년 08월 27일","20,033.9","20,249.9","20,343.6","19,849.8","187.34K","-1.07%"
"2022년 08월 26일","20,249.9","21,564.2","21,815.3","20,122.4","322.16K","-6.10%"
"2022년 08월 25일","21,565.4","21,365.4","21,801.2","21,324.8","190.15K","0.94%"
"2022년 08월 24일","21,365.2","21,516.2","21,832.3","21,171.1","202.40K","-0.71%"
"2022년 08월 23일","21,517.2","21,416.5","21,661.0","20,919.6","228.65K","0.47%"
"2022년 08월 22일","21,416.3","21,516.8","21,517.4","20,912.1","251.83K","-0.47%"
"2022년 08월 21일","21,517.2","21,138.9","21,692.4","21,077.4","177.52K","1.79%"
"2022년 08월 20일","21,138.9","20,830.7","21,357.4","20,784.8","206.94K","1.48%"
"2022년 08월 19일","20,831.3","23,201.6","23,202.3","20,807.8","339.47K","-10.22%"
"2022년 08월 18일","23,203.6","23,337.7","23,578.0","23,131.3","160.97K","-0.58%"
"2022년 08월 17일","23,338.0","23,855.8","24,423.5","23,191.6","239.53K","-2.17%"
"2022년 08월 16일","23,856.8","24,102.6","24,240.8","23,693.8","201.70K","-1.02%"
"2022년 08월 15일","24,101.7","24,303.3","25,205.7","23,784.5","279.28K","-0.83%"
"2022년 08월 14일","24,302.8","24,442.1","24,997.3","24,172.2","177.25K","-0.57%"
"2022년 08월 13일","24,442.5","24,398.9","24,882.9","24,318.7","170.59K","0.18%"
"2022년 08월 12일","24,398.7","23,935.3","24,440.8","23,616.4","194.96K","1.94%"
"2022년 08월 11일","23,935.3","23,963.3","24,873.5","23,864.0","285.36K","-0.12%"
"2022년 08월 10일","23,962.9","23,150.3","24,209.9","22,714.7","243.61K","3.53%"
"2022년 08월 09일","23,146.7","23,818.1","23,912.0","22,886.5","169.62K","-2.81%"
"2022년 08월 08일","23,816.3","23,175.3","24,234.1","23,160.6","197.94K","2.77%"
"2022년 08월 07일","23,175.3","22,944.2","23,387.7","22,852.3","99.36K","1.01%"
"2022년 08월 06일","22,944.2","23,308.2","23,344.4","22,923.6","94.44K","-1.56%"
"2022년 08월 05일","23,308.2","22,613.3","23,447.6","22,593.5","208.90K","3.08%"
"2022년 08월 04일","22,612.1","22,822.2","23,214.5","22,438.7","181.19K","-0.91%"
