"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 08월 18일","1,846.51","1,834.19","1,880.22","1,822.04","675.27K","0.67%"
"2022년 08월 17일","1,834.18","1,876.69","1,956.54","1,821.00","1.10M","-2.27%"
"2022년 08월 16일","1,876.70","1,900.08","1,914.06","1,856.44","725.78K","-1.24%"
"2022년 08월 15일","1,900.25","1,935.10","2,012.02","1,873.70","1.09M","-1.80%"
"2022년 08월 14일","1,935.10","1,983.52","2,028.40","1,909.19","662.15K","-2.44%"
"2022년 08월 13일","1,983.50","1,957.62","2,018.97","1,946.65","798.08K","1.32%"
"2022년 08월 12일","1,957.63","1,880.30","1,961.83","1,856.64","834.69K","4.11%"
"2022년 08월 11일","1,880.28","1,853.50","1,931.06","1,850.72","1.31M","1.45%"
"2022년 08월 10일","1,853.46","1,702.80","1,881.39","1,657.78","1.52M","8.85%"
"2022년 08월 09일","1,702.80","1,778.15","1,789.55","1,668.79","960.58K","-4.25%"
"2022년 08월 08일","1,778.42","1,700.26","1,813.45","1,694.69","951.02K","4.59%"
"2022년 08월 07일","1,700.29","1,690.29","1,728.97","1,669.39","530.48K","0.59%"
"2022년 08월 06일","1,690.27","1,737.66","1,749.33","1,687.74","696.11K","-2.73%"
"2022년 08월 05일","1,737.71","1,607.00","1,740.33","1,605.71","1.21M","8.14%"
"2022년 08월 04일","1,606.94","1,618.07","1,661.15","1,581.18","881.56K","-0.69%"
"2022년 08월 03일","1,618.08","1,631.46","1,682.23","1,591.60","906.08K","-0.82%"
"2022년 08월 02일","1,631.48","1,630.07","1,675.51","1,560.17","1.25M","0.08%"
"2022년 08월 01일","1,630.10","1,679.98","1,702.81","1,607.29","959.53K","-2.97%"
"2022년 07월 31일","1,680.00","1,695.99","1,752.94","1,667.41","822.23K","-0.94%"
"2022년 07월 30일","1,695.97","1,720.80","1,741.34","1,674.42","891.42K","-1.44%"
"2022년 07월 29일","1,720.77","1,725.97","1,764.74","1,658.26","1.44M","-0.30%"
"2022년 07월 28일","1,726.01","1,635.99","1,781.39","1,597.67","1.87M","5.50%"
"2022년 07월 27일","1,636.01","1,449.65","1,643.70","1,421.17","1.80M","12.77%"
"2022년 07월 26일","1,450.70","1,438.76","1,451.46","1,357.70","1.42M","0.85%"
"2022년 07월 25일","1,438.52","1,598.19","1,608.06","1,438.50","1.65M","-9.99%"
"2022년 07월 24일","1,598.19","1,549.61","1,659.93","1,547.70","1.18M","3.14%"
"2022년 07월 23일","1,549.61","1,534.85","1,596.02","1,490.35","1.03M","0.96%"
"2022년 07월 22일","1,534.85","1,575.68","1,644.99","1,520.36","1.43M","-2.59%"
"2022년 07월 21일","1,575.68","1,520.66","1,600.35","1,465.93","1.55M","3.62%"
"2022년 07월 20일","1,520.64","1,543.45","1,618.43","1,488.73","1.65M","-1.48%"
"2022년 07월 19일","1,543.50","1,584.33","1,620.35","1,494.88","2.18M","-2.60%"
"2022년 07월 18일","1,584.77","1,337.92","1,590.95","1,336.75","2.37M","18.46%"
