"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 27일","2.79949","2.81931","2.85972","2.75900","59.13K","-0.70%"
"2022년 06월 26일","2.81931","2.85415","2.86468","2.78267","38.95K","-1.22%"
"2022년 06월 25일","2.85415","2.86085","2.90000","2.72990","49.69K","-0.23%"
"2022년 06월 24일","2.86085","2.75725","2.94289","2.75725","97.91K","3.76%"
"2022년 06월 23일","2.75725","2.65785","2.78628","2.58700","85.89K","3.74%"
"2022년 06월 22일","2.65785","3.06416","3.06904","2.65785","90.66K","-13.42%"
"2022년 06월 21일","3.06983","2.70142","3.14631","2.68708","127.25K","13.64%"
"2022년 06월 20일","2.70142","2.74538","2.75514","2.60001","67.89K","-1.60%"
"2022년 06월 19일","2.74538","2.63750","2.79475","2.41701","101.30K","4.09%"
"2022년 06월 18일","2.63750","2.88346","2.91647","2.38681","151.27K","-8.53%"
"2022년 06월 17일","2.88346","2.84081","2.94392","2.73504","93.74K","1.50%"
"2022년 06월 16일","2.84081","3.23079","3.25851","2.79103","137.25K","-12.07%"
"2022년 06월 15일","3.23079","3.19791","3.26330","2.70681","276.52K","1.03%"
"2022년 06월 14일","3.19791","2.95652","3.23743","2.60000","247.94K","9.08%"
"2022년 06월 13일","2.93179","3.35981","3.53474","2.58763","241.55K","-12.51%"
"2022년 06월 12일","3.35109","3.57995","3.73609","3.17745","145.28K","-6.39%"
"2022년 06월 11일","3.57996","3.49732","3.80000","3.45416","169.98K","2.64%"
"2022년 06월 10일","3.48787","3.09714","3.69612","3.02724","224.13K","12.82%"
"2022년 06월 09일","3.09160","3.06873","3.19014","2.94000","131.52K","0.75%"
"2022년 06월 08일","3.06873","3.37363","3.53021","3.06295","102.49K","-9.04%"
"2022년 06월 07일","3.37367","3.66821","3.69024","3.19644","134.57K","-8.03%"
"2022년 06월 06일","3.66821","3.65287","3.78282","3.65111","92.20K","0.29%"
"2022년 06월 05일","3.65750","3.78070","3.88904","3.60958","66.62K","-3.26%"
"2022년 06월 04일","3.78070","3.56363","3.90820","3.55597","118.52K","6.10%"
"2022년 06월 03일","3.56342","3.87243","3.87243","3.49739","88.03K","-8.14%"
"2022년 06월 02일","3.87902","3.89756","3.98893","3.56892","159.64K","-0.68%"
"2022년 06월 01일","3.90539","4.32483","4.41800","3.81000","227.16K","-9.50%"
"2022년 05월 31일","4.31516","4.67063","4.67063","4.22012","182.42K","-7.62%"
